pr_id,repo_id,contributor_id,title,status,created_date,merged_date,reviewers_count
1,1,2,Add S3 connector,merged,2024-01-06 10:00:00,2024-01-08 15:00:00,2
2,2,9,DAX measures v1,merged,2024-01-18 09:00:00,2024-01-20 12:00:00,1
3,3,3,JWT auth middleware,merged,2024-01-25 11:00:00,2024-01-28 14:00:00,3
4,4,7,Feature flags module,open,2024-02-05 14:00:00,,2
5,5,5,Responsive UI fixes,merged,2024-02-22 13:00:00,2024-02-24 10:00:00,1
6,1,6,Spark optimization PR,merged,2024-01-22 08:00:00,2024-01-24 11:00:00,2
7,2,1,Drill-through page,closed,2024-02-15 10:00:00,,1
8,4,1,Benchmark report PR,merged,2024-02-18 14:00:00,2024-02-20 09:00:00,2
9,3,10,Kafka consumer refactor,open,2024-02-25 10:00:00,,3
10,1,2,Delta Lake integration,merged,2024-02-08 09:00:00,2024-02-10 16:00:00,2
